Questions,Answers,Patterns,Tags,Source
,,,,
What is breast cancer?,Breast cancer is a malignant tumor that develops from the cells of the breast. It is the most common type of cancer among women in the World. It is most often curable when found early.About 80% of breast cancers start in the ducts.,What precisely is breast cancer. Define breast cancer. Explain breast cancer.,breast cancer,https://www.medscape.com/answers/1947145-155238/what-is-breast-cancer
What are the signs and symptoms of breast cancer?,"Early breast cancers may be asymptomatic, and pain and discomfort are typically not present. If a lump is discovered, the following may indicate the possible presence of breast cancer:  Change in breast size or shape, Skin dimpling or skin changes, Recent nipple inversion or skin change, or nipple abnormalities, Single-duct discharge, particularly if blood-stained, Axillary lump",What are the indications of breast cancer. What are the breast cancer signs and symptoms. What breast cancer symptoms and signs are present. What are breast cancer's warning signs and symptoms,signs symptoms,https://www.medscape.com/answers/1947145-155239/what-are-the-signs-and-symptoms-of-breast-cancer
What is included in the evaluation of breast cancer?,"Evaluation of breast cancer includes the following:

Clinical examination
Imaging
Needle biopsy",What is included in a breast cancer evaluation. What is considered in the assessment of breast cancer. What aspects of breast cancer are evaluated. ,evaluation,https://www.medscape.com/answers/1947145-155240/what-is-included-in-the-evaluation-of-breast-cancer
Which physical findings suggest breast cancer?,"The following physical findings should raise concern:

Lump or contour change
Skin tethering
Nipple inversion
Dilated veins
Ulceration
Paget disease
Edema or peau d’orange",Which physical signs point to breast cancer. Which physical signs are indicative of breast cancer. Which physical indicators point to breast cancer. ,indicative indicators,https://www.medscape.com/answers/1947145-155241/which-physical-findings-suggest-breast-cancer
What features of a palpable lump suggest breast cancer?,"If a palpable lump is found and possesses any of the following features, breast cancer may be present:

Hardness
Irregularity
Focal nodularity
Fixation to skin or muscle",what is lump. What characteristics of a palpable lump indicate breast cancer. What characteristics of a palpable lump signify breast cancer.,lump palpable,https://www.medscape.com/answers/1947145-155242/what-features-of-a-palpable-lump-suggest-breast-cancer
How is breast cancer screening performed?,"Early detection remains the primary defense in preventing breast cancer. Screening modalities include the following:

Breast self-examination
Clinical breast examination
Mammography
Ultrasonography
Magnetic resonance imaging",How is breast cancer screening carried out. What is the procedure for screening for breast cancer. How is breast cancer screening done. How are breast cancer exams conducted.,screening,https://www.medscape.com/answers/1947145-155243/how-is-breast-cancer-screening-performed
What is the role of biopsy in the workup of breast cancer?,Core biopsy with image guidance is the recommended diagnostic approach for newly diagnosed breast cancers. This is a method for obtaining breast tissue without surgery and can eliminate the need for additional surgeries. Open excisional biopsy is the surgical removal of the entire lump.,What function does a biopsy have in the diagnosis of breast cancer. What role does a biopsy play in the treatment of breast cancer. What part does a breast cancer biopsy play in the treatment plan.,biopsy diagnosis,https://www.medscape.com/answers/1947145-155244/what-is-the-role-of-biopsy-in-the-workup-of-breast-cancer
How is breast cancer treated?,"Surgery and radiation therapy, along with adjuvant hormone or chemotherapy when indicated, are considered primary treatment. Surgical therapy may consist of lumpectomy or total mastectomy. Radiation therapy may follow surgery in an effort to eradicate residual disease while reducing recurrence rates. There are 2 general approaches for delivering radiation therapy: External-beam radiotherapy (EBRT), Partial-breast irradiation (PBI).",What is the treatment for breast cancer. What are the treatment options for breast cancer. In what ways is breast cancer treated.,treatment ,https://www.medscape.com/answers/1947145-155245/how-is-breast-cancer-treated
What are the chemotherapy regimens used to treat breast cancer?,"Hormone therapy and chemotherapy are the 2 main interventions for treating metastatic breast cancer. Common chemotherapeutic regimens include the following:

Docetaxel
Cyclophosphamide
Doxorubicin
Carboplatin
Methotrexate
Trastuzumab",What chemotherapy regimens are used to treat breast cancer. What are the breast cancer chemotherapy regimens. What chemotherapy protocols are used to treat breast cancer. ,chemotherapy regimens,https://www.medscape.com/answers/1947145-155246/what-are-the-chemotherapy-regimens-used-to-treat-breast-cancer
What is the role of drug treatment for breast cancer?,"In patients receiving adjuvant aromatase inhibitor therapy for breast cancer who are at high risk for fracture, the monoclonal antibody denosumab or either of the bisphosphonates zoledronic acid and pamidronate may be added to the treatment regimen to increase bone mass. These agents are given along with calcium and vitamin D supplementation.",What is the role of breast cancer medicine treatment. What function does medication treatment play in breast cancer treatment. What part does medication play in breast cancer treatment.  ,medicine medication,https://www.medscape.com/answers/1947145-155247/what-is-the-role-of-drug-treatment-for-breast-cancer
What are basic facts about breast cancer?,Many early breast carcinomas are asymptomatic; pain or discomfort is not usually a symptom of breast cancer. Breast cancer is often first detected as an abnormality on a mammogram before it is felt by the patient or healthcare provider.,What are the fundamentals of breast cancer. Basic information about breast cancer. ,fundamentals,https://www.medscape.com/answers/1947145-155248/what-are-basic-facts-about-breast-cancer
What is the anatomy relevant to breast cancer?,"The breasts of an adult woman are milk-producing glands on the front of the chest wall. They rest on the pectoralis major and are supported by and attached to the front of the chest wall on either side of the sternum by ligaments. Each breast contains 15-20 lobes arranged in a circular fashion. For more information, visit: ",Why is anatomy important in relation to breast cancer. What is the anatomy of breast cancer. How does anatomy relate to breast cancer.,anatomy ,https://www.medscape.com/answers/1947145-155249/what-is-the-anatomy-relevant-to-breast-cancer
What is the pathophysiology of breast cancer?,The current understanding of breast cancer etiopathogenesis is that invasive cancers arise through a series of molecular alterations at the cell level. These alterations result in breast epithelial cells with immortal features and uncontrolled growth.,In what ways does breast cancer develop physiologically. The pathophysiology of breast cancer is what. ,physiologically pathophysiology ,https://www.medscape.com/answers/1947145-155250/what-is-the-pathophysiology-of-breast-cancer
How is breast cancer categorized?,"various types of breast cancers:
Infiltrating ductal carcinoma is the most commonly diagnosed breast tumor and has a tendency to metastasize via lymphatics.",How is breast cancer classified.,classified categorized,https://www.medscape.com/answers/1947145-155251/how-is-breast-cancer-categorized
What are the types of breast cancer?,"The normal breast consists of three main components: the lobules (milk-producing glands), the ducts (thin tubes that connect the lobules to the nipple) and the stroma (fatty tissue and ligaments surrounding the ducts and lobules, blood vessels, and lymphatic vessels)",What are the different forms of breast cancer. What types of breast cancer exist. What kinds of cancer are found in the breast.,types found ,https://www.medscape.com/answers/1947145-155252/what-are-the-types-of-breast-cancer
What causes breast cancer?,"Breast cancer develops as a result of genetic mutations or damage to DNA. These can be associated withTrusted Source exposure to estrogen, inherited genetic defects, or inherited genes that can cause cancer, such as the BRCA1 and BRCA2 genes.",What exactly causes breast cancer. Why do breast cancers develop.,exactly develop causes,https://www.medscape.com/answers/1947145-155253/what-causes-breast-cancer
What is the role of age in the etiology of breast cancer?,"Increasing age and female sex are established risk factors for breast cancer. Sporadic breast cancer is relatively uncommon among women younger than 40 years but increases significantly thereafter. The effect of age on risk is illustrated in the SEER (Surveillance, Epidemiology and End Results) data, where the incidence of invasive breast cancer for women younger than 50 years is 44.0 per 100,000 as compared with 345 per 100,000 for women aged 50 years or older.",What role does ageing play in the genesis of breast cancer. What impact does ageing play in the development of breast cancer. How does age factor into the causes of breast cancer. ,ageing genesis age,https://www.medscape.com/answers/1947145-155254/what-is-the-role-of-age-in-the-etiology-of-breast-cancer
What is the role of family history in the etiology of breast cancer?,"A positive family history of breast cancer is the most widely recognized risk factor for breast cancer. The lifetime risk is up to 4 times higher if a mother and sister are affected, and it is about 5 times greater in women who have two or more first-degree relatives with breast cancer. The risk is also greater among women with breast cancer in a single first-degree relative, particularly if the relative was diagnosed at an early age (≤50 years",What role does family history play in the genesis of breast cancer. What is the significance of family history in the genesis of breast cancer. How does a family history of breast cancer affect its aetiology.,family history,https://www.medscape.com/answers/1947145-155255/what-is-the-role-of-family-history-in-the-etiology-of-breast-cancer
